Codigo,DescripcionCorta,Descripcion
"A","AGRICULTURA Y G","AGRICULTURA Y GANADERIA"
"B","CAZA SILVICULT","CAZA SILVICULTURA Y PESCA"
"C","EXTRACCION DE P","EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL"
"D","MINERALES METAL","MINERALES METALICOS Y NO METALICOS"
"E","INDUSTRIA MANUF","INDUSTRIA MANUFACTURERA"
"F","PRODUCCION Y DI","PRODUCCION Y DISTRIBUCION DE ENERGIA ELECTRICA GAS Y AGUA"
"G","CONSTRUCCION","CONSTRUCCION"
"H","VENTA AL POR MA","VENTA AL POR MAYOR Y MENOR"
"I","HOTELES Y RESTA","HOTELES Y RESTAURANTES"
"J","TRANSPORTE ALM","TRANSPORTE ALMACENAMIENTO Y COMUNICACIONES"
"K","INTERMEDIACION","INTERMEDIACION FINANCIERA"
"L","SERVICIOS INMOB","SERVICIOS INMOBILIARIOS EMPRESARIALES Y DE ALQUILER"
"M","ADMINISTRACION","ADMINISTRACION PUBLICA DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA"
"N","EDUCACION","EDUCACION"
"O","SERVICIOS SOCIA","SERVICIOS SOCIALES COMUNALES Y PERSONALES"
"P","SERVICIO DE HOG","SERVICIO DE HOGARES PRIVADOS QUE CONTRATAN SERVICIO DOMESTICO"
"Q","SERVICIO DE ORG","SERVICIO DE ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES"
"Z","ACTIVIDADES ATI","ACTIVIDADES ATIPICAS"
